"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.11.2021","92.095,02","89.273,04","92.124,21","88.983,22","","3,16%"
"02.11.2021","89.273,04","87.511,81","89.486,81","86.700,31","","2,07%"
"01.11.2021","87.460,35","83.560,96","87.723,12","83.560,96","","4,67%"
"29.10.2021","83.560,96","86.034,23","86.253,98","83.295,82","","-2,87%"
"28.10.2021","86.034,23","85.353,13","86.477,24","84.645,74","","0,80%"
"27.10.2021","85.353,13","88.907,82","88.907,82","85.316,61","","-4,00%"
"26.10.2021","88.907,82","89.391,76","90.576,75","88.836,84","","-0,54%"
"25.10.2021","89.391,76","86.898,51","89.855,80","86.898,51","","2,87%"
"22.10.2021","86.898,51","86.795,26","87.132,66","85.709,68","","0,12%"
"21.10.2021","86.795,26","87.055,66","87.055,66","85.654,04","","-0,30%"
"20.10.2021","87.055,66","84.307,98","87.157,62","84.307,98","","3,26%"
"19.10.2021","84.307,98","82.859,69","84.402,48","82.474,31","","1,75%"
"18.10.2021","82.859,69","81.990,22","83.471,70","81.818,75","","1,06%"
"15.10.2021","81.990,22","80.138,01","82.264,39","80.138,01","","2,31%"
"14.10.2021","80.138,01","78.427,93","80.255,19","78.427,93","","2,18%"
"13.10.2021","78.427,93","77.927,87","78.518,26","77.100,96","","0,64%"
"12.10.2021","77.927,87","77.553,97","79.372,54","77.553,97","","0,48%"
"07.10.2021","77.553,31","77.443,10","78.406,08","77.400,98","","0,14%"
"06.10.2021","77.443,10","78.191,50","78.191,50","76.756,98","","-0,96%"
"05.10.2021","78.191,50","77.578,90","78.499,67","77.578,90","","0,79%"
"04.10.2021","77.578,90","77.626,17","78.540,47","77.163,94","","-0,06%"
"01.10.2021","77.626,17","77.363,64","77.904,55","77.033,71","","0,34%"
"30.09.2021","77.363,64","76.589,27","77.755,65","76.589,27","","1,01%"
"29.09.2021","76.589,27","75.808,43","77.053,29","75.808,43","","1,03%"
"28.09.2021","75.808,43","75.687,52","76.112,39","74.810,03","","0,16%"
"27.09.2021","75.687,52","74.180,20","75.727,47","74.180,20","","2,03%"
"24.09.2021","74.180,20","74.743,42","74.922,73","73.918,56","","-0,75%"
"23.09.2021","74.743,42","74.750,23","75.462,77","74.304,55","","-0,01%"
"22.09.2021","74.750,23","73.918,62","75.369,36","73.918,62","","1,13%"
"21.09.2021","73.918,62","73.635,15","74.862,77","73.635,15","","0,38%"
"20.09.2021","73.635,15","78.512,09","78.512,09","73.488,16","","-6,21%"
"17.09.2021","78.512,09","79.738,13","80.292,50","78.512,09","","-1,54%"
"16.09.2021","79.738,13","78.488,50","80.206,26","76.373,63","","1,59%"
"15.09.2021","78.488,50","78.989,23","79.803,72","77.166,18","","-0,63%"
"14.09.2021","78.989,23","80.065,91","80.433,30","78.338,97","","-1,34%"
"13.09.2021","80.065,91","75.895,02","83.923,24","75.895,02","","5,50%"
"10.09.2021","75.895,02","77.127,01","77.440,30","75.813,52","","-1,60%"
"09.09.2021","77.127,01","77.459,00","78.793,49","76.356,48","","-0,43%"
"08.09.2021","77.459,00","79.004,76","79.004,76","76.506,77","","-1,96%"
"07.09.2021","79.004,76","76.003,44","79.311,22","76.003,44","","3,95%"
"06.09.2021","76.002,98","74.734,95","76.076,47","74.593,70","","1,70%"
"03.09.2021","74.734,95","75.115,05","75.416,27","74.374,14","","-0,51%"
"02.09.2021","75.115,05","75.232,61","76.419,67","74.641,61","","-0,16%"
"01.09.2021","75.232,61","76.451,68","77.562,19","75.107,22","","-1,59%"
"31.08.2021","76.451,68","76.329,42","76.876,65","75.324,29","","0,16%"
"30.08.2021","76.329,42","73.203,64","76.502,57","73.203,64","","4,27%"
"27.08.2021","73.203,64","71.550,54","73.997,91","71.550,54","","2,31%"
"26.08.2021","71.550,54","72.009,08","72.363,43","71.241,84","","-0,64%"
"25.08.2021","72.009,08","71.353,80","72.109,82","71.192,87","","0,92%"
"24.08.2021","71.353,80","69.050,33","71.451,06","69.050,33","","3,34%"
"23.08.2021","69.050,33","67.822,20","69.164,30","67.822,20","","1,81%"
"20.08.2021","67.822,20","66.681,73","67.947,55","66.681,73","","1,71%"
"19.08.2021","66.681,73","67.094,33","67.094,33","65.600,84","","-0,61%"
"18.08.2021","67.094,33","67.999,04","67.999,04","66.999,68","","-1,33%"
"17.08.2021","67.999,04","69.544,76","69.544,76","67.456,09","","-2,22%"
"13.08.2021","69.544,76","69.492,58","69.618,06","68.377,11","","0,08%"
"12.08.2021","69.492,58","69.475,19","69.586,37","68.723,09","","0,03%"
"11.08.2021","69.475,19","68.023,11","69.719,04","67.715,06","","2,13%"
"10.08.2021","68.023,11","66.096,38","68.099,55","66.096,38","","2,92%"
"09.08.2021","66.096,38","65.860,91","66.249,78","65.601,04","","0,36%"
"06.08.2021","65.860,91","66.136,50","66.291,32","65.768,08","","-0,42%"
"05.08.2021","66.136,50","65.088,13","66.220,20","65.055,91","","1,61%"
"04.08.2021","65.088,13","65.873,55","66.340,31","64.531,09","","-1,19%"
"03.08.2021","65.873,55","65.939,58","66.082,43","65.342,70","","-0,10%"
"02.08.2021","65.939,58","66.005,29","66.621,09","65.630,61","","-0,10%"
"30.07.2021","66.005,29","67.315,58","67.595,39","65.899,33","","-1,95%"
"29.07.2021","67.315,58","66.553,45","67.529,77","66.553,45","","1,15%"
"28.07.2021","66.553,45","65.688,31","66.612,64","65.600,31","","1,32%"
